variable,mean_abs_shap
gdp_per_capita_usd,2.9655
agri_employment_pct,0.8685
bank_branches_per_100k,0.7713
cereal_loss_pct,0.6721
arable_land_pct,0.3542
private_credit_pct_gdp,0.3128
cereal_yield_kg_per_ha,0.294
account_ownership_pct,0.273
fertiliser_kg_per_ha,0.1488
livestock_production_index,0.0726
rural_population_pct,0.048
