variable,mean_abs_shap
gdp_per_capita_usd,0.0899
livestock_production_index,0.0308
rural_electricity_access_pct,0.0178
arable_land_pct,0.0163
cereal_yield_kg_per_ha,0.016
food_price_inflation_pct,0.0128
agri_employment_pct,0.0087
cereal_loss_pct,0.0063
fertiliser_kg_per_ha,0.006
fertiliser_efficiency,0.0059
trade_pct_gdp,0.0038
rural_population_pct,0.0033
