variable,mean_abs_shap
gdp_per_capita_usd,0.0889
livestock_production_index,0.0345
cereal_yield_kg_per_ha,0.024
arable_land_pct,0.0236
agri_employment_pct,0.0159
cereal_loss_pct,0.0096
fertiliser_kg_per_ha,0.0089
rural_population_pct,0.0039
