variable,mean_abs_shap
cereal_yield_kg_per_ha,0.5646
arable_land_pct,0.3379
gdp_per_capita_usd,0.1354
fertiliser_kg_per_ha,0.1145
rural_population_pct,0.0959
lpi_overall,0.0508
cereal_loss_pct,0.0494
agri_employment_pct,0.0481
livestock_production_index,0.0339
rural_electricity_access_pct,0.024
