variable,mean_abs_shap
gdp_per_capita_usd,2.0463
agri_employment_pct,1.4536
wgi_government_effectiveness,0.7276
value_chain_finance_score,0.6232
arable_land_pct,0.3809
wgi_control_of_corruption,0.3409
cereal_yield_kg_per_ha,0.2308
cereal_loss_pct,0.2032
food_price_inflation_pct,0.1857
fertiliser_kg_per_ha,0.1143
account_ownership_poorest40_pct,0.1128
account_ownership_female_pct,0.1121
rural_population_pct,0.086
livestock_production_index,0.0669
wgi_political_stability,0.0474
